id_utilisateur,id_concert,note,commentaire
630,46,1,eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus
143,690,1,ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et
367,683,5,id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat
111,251,2,potenti nullam porttitor lacus at turpis donec posuere metus vitae
617,216,5,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus
16,449,4,nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper
371,703,3,in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in
840,228,4,pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero
423,184,5,ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis
658,983,3,turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy
637,966,5,et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus
819,650,4,ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id
714,112,5,nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula
798,40,3,orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices
47,907,5,non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel
691,329,4,diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam
216,206,4,non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus
676,404,2,nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla
328,666,3,pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices
704,294,4,quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere
177,384,3,leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut
393,163,2,amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin
672,883,1,lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue
38,148,5,tellus nisi eu orci mauris lacinia sapien quis libero nullam
341,70,2,morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales
330,538,1,congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui
612,871,5,in hac habitasse platea dictumst maecenas ut massa quis augue
163,407,4,nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget
867,420,2,condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit
886,836,3,in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas
736,286,5,vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla
713,924,3,condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et
762,941,3,in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu
317,617,5,augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea
286,462,1,ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac
963,337,3,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras
451,570,4,nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet
223,589,4,lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at
209,659,4,quis turpis eget elit sodales scelerisque mauris sit amet eros
832,817,5,luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam
436,994,2,lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non
24,707,1,habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi
557,255,1,vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat
30,343,4,dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium
590,789,4,vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus
585,953,3,felis donec semper sapien a libero nam dui proin leo
521,229,3,augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet
744,206,3,posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec
451,518,2,odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla
161,814,1,mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit
879,252,3,id nisl venenatis lacinia aenean sit amet justo morbi ut odio
706,698,3,lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio
515,495,5,lobortis sapien sapien non mi integer ac neque duis bibendum morbi
515,376,4,dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit
448,44,4,pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis
34,297,4,ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus
577,950,2,faucibus cursus urna ut tellus nulla ut erat id mauris vulputate
320,455,2,turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis
214,369,3,ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient
838,541,1,mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis
401,395,1,donec semper sapien a libero nam dui proin leo odio porttitor
69,58,3,felis donec semper sapien a libero nam dui proin leo odio porttitor
290,17,1,interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien
492,393,4,fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel
287,909,1,ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin
920,880,5,maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta
112,993,3,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in
736,572,4,consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id
787,945,3,gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin
867,65,1,parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum
954,469,4,magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
866,611,2,nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse
99,590,1,turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut
24,143,5,etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum
245,231,1,luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis
889,727,3,sem sed sagittis nam congue risus semper porta volutpat quam pede
122,713,5,at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget
253,776,3,luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac
973,198,3,id massa id nisl venenatis lacinia aenean sit amet justo morbi
617,318,1,accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi
911,679,2,turpis enim blandit mi in porttitor pede justo eu massa donec dapibus
928,903,2,diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus
683,387,1,lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam
791,214,3,lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus
898,117,5,ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl
582,566,4,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc
391,608,3,at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in
49,734,3,scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis
141,87,2,nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan
379,708,5,lectus in quam fringilla rhoncus mauris enim leo rhoncus sed
811,554,5,vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel
608,194,2,aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum
910,246,4,auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc
482,256,4,maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra
170,890,5,ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae
182,804,1,dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in
824,1,4,ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu
832,69,4,in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel
848,650,4,in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in
865,769,3,mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque
639,254,5,ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla
938,258,1,curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam
683,669,5,amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue
367,761,1,venenatis non sodales sed tincidunt eu felis fusce posuere felis sed
82,524,1,orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in
387,989,5,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est
853,640,1,pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper
311,95,1,in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis
786,89,2,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel
723,983,1,quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna
726,936,1,rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia
971,719,4,sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet
716,100,1,in leo maecenas pulvinar lobortis est phasellus sit amet erat
664,586,3,turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede
888,35,3,ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur
145,835,5,vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus
788,767,1,nam dui proin leo odio porttitor id consequat in consequat ut nulla
513,303,3,potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non
971,355,3,nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque
866,853,2,nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin
268,967,5,vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod
386,536,5,ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis
705,930,5,suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient
522,717,2,volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla
276,852,2,ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque
783,555,4,ipsum integer a nibh in quis justo maecenas rhoncus aliquam
713,237,1,ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices
334,822,3,magna at nunc commodo placerat praesent blandit nam nulla integer pede justo
583,276,5,pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna
752,230,3,purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat
6,229,3,vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in
748,364,5,mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id
788,941,4,vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque
933,765,5,curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi
813,451,2,ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit
44,445,1,luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin
513,44,2,aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam
300,698,4,adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy
754,560,5,vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet
471,776,4,ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in
778,161,4,primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra
877,903,2,eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus
904,198,1,sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel
433,139,3,sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante
626,807,4,curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer
571,14,3,nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien
208,900,3,nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt
346,948,2,vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices
499,862,2,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede
646,934,2,magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed
456,456,5,maecenas tristique est et tempus semper est quam pharetra magna ac
979,997,1,in felis donec semper sapien a libero nam dui proin leo odio porttitor id
79,67,3,nullam orci pede venenatis non sodales sed tincidunt eu felis
595,416,4,donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in
155,142,3,non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem
861,40,1,nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel
269,191,4,venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo
545,206,4,quam a odio in hac habitasse platea dictumst maecenas ut
225,519,4,molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna
556,734,3,erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede
297,76,2,curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at
343,526,1,praesent id massa id nisl venenatis lacinia aenean sit amet justo
215,86,3,non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus
256,875,5,velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget
114,746,1,elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus
302,290,1,erat eros viverra eget congue eget semper rutrum nulla nunc
893,231,2,semper sapien a libero nam dui proin leo odio porttitor id consequat in
660,187,2,enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper
596,243,1,feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut
611,169,3,dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis
287,914,4,rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui
102,746,1,interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum
486,71,4,diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris
387,860,1,tellus nulla ut erat id mauris vulputate elementum nullam varius nulla
98,318,3,nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor
457,971,2,volutpat eleifend donec ut dolor morbi vel lectus in quam
597,739,2,cum sociis natoque penatibus et magnis dis parturient montes nascetur
776,801,2,magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede
849,834,5,libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est
219,480,1,quam turpis adipiscing lorem vitae mattis nibh ligula nec sem
298,795,4,etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla
666,776,3,elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus
1000,217,3,odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus
247,915,3,blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id
552,800,2,tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat
603,589,5,suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa
614,649,2,at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum
676,978,1,amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
142,392,1,curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum
30,155,5,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus
641,10,4,id luctus nec molestie sed justo pellentesque viverra pede ac diam cras
992,354,4,pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue
881,727,2,nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo
705,457,1,nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas
482,762,5,velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit
436,111,3,proin risus praesent lectus vestibulum quam sapien varius ut blandit non
819,126,4,aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam
590,645,1,eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero
719,529,2,maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum
378,780,4,odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat
68,781,1,eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl
735,851,2,posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti
179,988,1,aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in
259,471,4,metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque
168,31,2,consequat in consequat ut nulla sed accumsan felis ut at dolor quis
506,622,1,tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet
914,172,1,dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur
358,501,2,in lacus curabitur at ipsum ac tellus semper interdum mauris
939,990,5,ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium
341,590,4,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et
977,829,3,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac
977,60,5,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis
124,76,3,condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et
49,644,5,fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit
306,792,5,est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac
862,254,4,justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper
611,403,5,vel est donec odio justo sollicitudin ut suscipit a feugiat
885,619,2,bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac
247,64,2,dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien
335,577,4,pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat
463,13,2,luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque
653,200,2,non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie
85,44,2,nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam
606,812,2,non mauris morbi non lectus aliquam sit amet diam in magna
741,901,3,ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim
108,164,2,risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh
945,422,1,tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in
628,701,3,justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est
374,951,2,justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis
226,200,2,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam
379,926,2,tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in
892,534,1,nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi
297,279,4,luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea
893,700,1,odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae
867,175,3,erat volutpat in congue etiam justo etiam pretium iaculis justo
570,442,5,mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non
637,775,1,donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst
495,264,5,nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in
803,349,2,non mauris morbi non lectus aliquam sit amet diam in
472,465,4,id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras
575,670,2,scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis
269,507,1,vestibulum ante ipsum primis in faucibus orci luctus et ultrices
642,734,2,libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis
427,738,2,justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id
926,294,3,diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere
801,509,5,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum
306,641,4,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce
835,527,5,egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget
646,687,2,massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio
829,982,4,libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in
511,584,5,viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin
43,151,3,mauris eget massa tempor convallis nulla neque libero convallis eget
795,721,3,viverra eget congue eget semper rutrum nulla nunc purus phasellus
542,425,2,quisque erat eros viverra eget congue eget semper rutrum nulla
57,389,1,morbi a ipsum integer a nibh in quis justo maecenas rhoncus
120,943,2,integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc
686,167,1,quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor
47,930,4,at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel
57,459,2,congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam
213,744,4,venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar
886,860,4,eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis
