id_utilisateur,id_lieu,note,commentaire
619,164,4,in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus
222,487,1,vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna
59,188,3,aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse
36,221,4,etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut
713,638,2,non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate
363,700,4,non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut
380,58,4,in porttitor pede justo eu massa donec dapibus duis at velit eu est congue
84,26,2,sapien a libero nam dui proin leo odio porttitor id
454,608,2,tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo
201,337,2,non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc
72,164,3,varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices
844,807,3,morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla
730,247,2,id ornare imperdiet sapien urna pretium nisl ut volutpat sapien
35,401,3,urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue
282,950,4,in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia
244,102,2,id turpis integer aliquet massa id lobortis convallis tortor risus dapibus
628,254,2,imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing
767,723,5,ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna
647,7,5,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed
106,760,3,lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam
616,634,4,sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum
588,495,1,ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam
585,788,2,semper sapien a libero nam dui proin leo odio porttitor id
504,874,5,pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit
825,554,5,eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem
225,271,3,ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer
31,630,2,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia
999,928,1,est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum
943,722,2,justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus
84,655,2,tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum
312,116,3,nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer
519,617,3,at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat
667,140,3,nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes
990,953,1,suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae
667,1,4,magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis
946,402,2,dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras
20,163,2,mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim
402,375,5,luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi
464,627,3,nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus
39,225,5,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien
103,969,4,nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id
449,398,3,potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis
782,971,3,justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id
449,452,1,augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh
60,423,2,ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue
599,785,5,aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac
311,776,3,nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque
884,230,3,ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor
244,104,4,in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac
177,108,1,quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis
940,532,3,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac
767,504,2,lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat
406,661,4,elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam
445,966,1,ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus
883,679,5,donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus
559,300,4,ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum
965,96,3,viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus
362,461,1,suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis
63,229,4,porttitor id consequat in consequat ut nulla sed accumsan felis ut
246,140,3,rutrum neque aenean auctor gravida sem praesent id massa id nisl
614,608,3,quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non
541,762,3,consequat ut nulla sed accumsan felis ut at dolor quis odio consequat
384,528,1,curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec
454,223,3,ultrices aliquet maecenas leo odio condimentum id luctus nec molestie
66,741,4,lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue
963,734,2,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut
355,863,4,iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque
754,242,1,lorem id ligula suspendisse ornare consequat lectus in est risus
494,817,3,mauris sit amet eros suspendisse accumsan tortor quis turpis sed
871,338,1,quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci
568,992,4,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et
971,632,2,donec semper sapien a libero nam dui proin leo odio
808,624,1,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat
520,11,1,non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam
643,923,2,luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec
540,777,4,ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere
747,523,4,rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus
386,991,1,quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse
935,561,2,sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet
150,475,2,lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis
682,627,1,curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac
555,508,3,felis donec semper sapien a libero nam dui proin leo
470,970,3,curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi
185,504,1,vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor
305,407,4,leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus
487,558,4,lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu
215,29,1,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante
270,391,3,auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl
782,293,3,risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet
122,83,1,sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum
592,175,3,nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac
199,755,5,diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est
93,258,4,sed sagittis nam congue risus semper porta volutpat quam pede
640,292,5,integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in
519,594,1,nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in
73,551,5,quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante
507,644,5,pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue
118,309,1,egestas metus aenean fermentum donec ut mauris eget massa tempor
871,657,2,odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat
453,958,2,sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla
125,460,4,magna at nunc commodo placerat praesent blandit nam nulla integer pede justo
256,72,2,ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus
201,405,4,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam
299,281,3,in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl
598,456,4,mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis
407,187,4,ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan
510,851,1,nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit
950,791,5,mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus
417,187,2,adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin
860,70,2,libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo
154,867,5,odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla
704,389,3,non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in
614,285,1,dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat
139,432,5,sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus
170,459,4,ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi
497,27,1,pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat
965,317,1,in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec
212,216,3,cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc
207,531,1,venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem
759,169,2,amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean
237,392,3,sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien
384,863,2,nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae
858,794,1,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac
758,848,2,suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit
578,919,3,cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat
923,286,2,vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum
303,637,4,purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in
423,884,4,ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing
339,797,5,risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum
691,846,3,felis donec semper sapien a libero nam dui proin leo odio porttitor id
703,338,5,et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean
300,167,5,eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque
98,234,1,adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue
277,693,4,odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis
803,514,3,sapien non mi integer ac neque duis bibendum morbi non quam nec dui
808,702,3,ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate
523,230,5,eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna
289,189,4,amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate
930,400,3,nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum
728,56,3,rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet
572,438,1,ornare consequat lectus in est risus auctor sed tristique in tempus
760,936,5,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum
268,418,4,volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea
194,749,1,nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada
967,316,1,ut ultrices vel augue vestibulum ante ipsum primis in faucibus
304,837,4,morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien
236,325,2,at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut
417,11,1,porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh
40,988,4,id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in
966,590,1,id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus
94,612,5,odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem
885,751,5,primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti
282,789,2,accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend
126,936,4,donec odio justo sollicitudin ut suscipit a feugiat et eros
726,105,3,vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat
909,737,5,eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula
167,20,5,nam congue risus semper porta volutpat quam pede lobortis ligula sit
714,369,3,nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa
408,894,2,ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor
639,60,1,tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed
461,912,4,velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat
985,99,4,donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce
707,588,4,at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes
786,864,3,nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet
933,849,5,duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam
363,998,1,lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent
840,763,1,commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi
282,103,4,mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla
717,258,2,nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut
446,307,4,est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna
98,214,5,id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas
46,84,5,leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices
374,504,1,pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum
745,738,4,nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend
851,885,1,id pretium iaculis diam erat fermentum justo nec condimentum neque
210,349,4,nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque
468,554,1,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper
403,139,3,sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus
370,963,2,velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus
489,907,5,tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum
583,859,3,eu mi nulla ac enim in tempor turpis nec euismod scelerisque
593,912,4,a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut
236,83,2,quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus
777,557,5,mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy
467,754,1,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
169,394,4,justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices
946,528,4,amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at
341,920,4,enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis
50,585,4,sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat
472,885,1,amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et
672,724,3,ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices
980,559,5,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing
182,368,5,sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis
755,454,5,at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra
168,8,3,nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio
158,621,4,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis
760,689,3,velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in
500,863,1,id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac
64,157,3,non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed
774,41,5,magna at nunc commodo placerat praesent blandit nam nulla integer pede
956,288,2,erat quisque erat eros viverra eget congue eget semper rutrum nulla
290,400,2,potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit
351,117,1,amet eleifend pede libero quis orci nullam molestie nibh in lectus
297,7,1,faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui
628,421,1,magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis
915,253,2,phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac
396,290,1,sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce
888,519,1,faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat
15,776,5,integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia
614,836,2,curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu
38,442,3,est risus auctor sed tristique in tempus sit amet sem fusce consequat
768,333,2,imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed
948,573,1,odio porttitor id consequat in consequat ut nulla sed accumsan felis ut
669,405,3,est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices
644,200,5,justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id
602,773,4,vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede
108,300,3,nullam orci pede venenatis non sodales sed tincidunt eu felis fusce
200,944,5,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet
459,73,5,sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue
712,370,1,vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci
126,6,4,varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis
154,820,2,dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit
855,404,1,lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit
27,964,1,rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo
557,488,2,phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit
191,797,5,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor
36,4,3,dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti
985,796,1,est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat
773,503,2,viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus
309,639,4,turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc
515,508,5,ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut
186,92,2,gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi
478,979,4,convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque
540,460,4,id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue
387,230,5,congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc
521,757,2,ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio
324,433,5,risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis
991,123,5,lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus
585,178,4,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id
321,693,3,volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam
450,620,2,vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel
885,932,2,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis
655,850,5,rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus
485,284,3,posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti
486,281,5,lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo
55,512,5,fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu
144,744,5,suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus
292,757,5,est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac
700,431,2,condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit
608,819,4,parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa
137,474,4,quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum
845,43,2,a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum
956,286,4,ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus
