id_album,id_artiste,nom_morceau,date_upload,duree,type_morceau
951,200,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis,1/1/2022,0:07:21,Reggae
490,140,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien,4/4/1992,0:03:53,Pop
504,122,sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus,5/7/2019,0:03:56,R&B
44,126,elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt,2/28/2009,0:05:48,Country
777,124,feugiat non pretium quis lectus suspendisse potenti in eleifend quam,1/5/1981,0:03:12,Jazz
882,48,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis,11/25/1997,0:05:36,Country
591,62,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient,11/10/2015,0:08:45,Folk
619,174,enim blandit mi in porttitor pede justo eu massa donec dapibus duis at,2/13/1985,0:08:15,Classical
440,93,imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing,8/20/2019,0:05:54,R&B
520,50,nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus,2/11/2021,0:03:59,Classical
894,124,lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin,7/19/2012,0:01:57,Blues
477,127,nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras,6/4/2003,0:01:34,Punk
350,119,quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis,1/11/2021,0:01:07,Rock
341,36,enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem,8/7/1987,0:03:54,Indie
999,41,eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis,4/4/2020,0:01:37,Heavy Metal
593,106,turpis donec posuere metus vitae ipsum aliquam non mauris morbi non,5/20/2008,0:03:59,Punk
909,6,sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede,3/4/2009,0:02:34,Punk
785,143,semper rutrum nulla nunc purus phasellus in felis donec semper,2/5/1991,0:08:26,Heavy Metal
946,125,justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem,1/12/1991,0:09:23,Classical
165,184,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum,2/20/2009,0:07:42,Other
69,83,amet justo morbi ut odio cras mi pede malesuada in imperdiet,5/20/1992,0:06:29,Rap
540,71,nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi,12/28/2018,0:07:08,Electronic
355,56,ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis,5/13/1993,0:09:39,Heavy Metal
320,11,nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum,8/30/2002,0:00:51,Punk
461,124,quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse,10/6/2001,0:06:58,Blues
610,134,curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue,10/22/2007,0:04:49,Punk
1,18,in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu,1/10/2001,0:01:39,Reggae
24,3,volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc,3/19/2005,0:07:29,Indie
915,24,aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea,9/6/1996,0:02:59,Rap
395,90,sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed,5/27/2021,0:04:10,Hip Hop
48,188,eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis,9/14/2008,0:01:21,Electronic
594,37,id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero,2/3/2016,0:05:57,Jazz
540,57,convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien,7/25/1986,0:03:55,Alternative
136,122,luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec,4/5/2000,0:07:59,Reggae
23,108,sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas,3/20/2020,0:09:57,Blues
879,80,sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis,5/20/2018,0:09:12,Hip Hop
237,197,sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus,3/26/2005,0:04:47,Rock
418,21,non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in,3/25/1997,0:06:35,Reggae
440,61,duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam,4/21/2010,0:04:45,Blues
766,181,odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus,10/2/1988,0:07:06,Hip Hop
33,7,id mauris vulputate elementum nullam varius nulla facilisi cras non velit,6/18/2004,0:07:09,Rock
545,149,ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis,6/18/1987,0:03:35,Blues
153,32,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo,8/23/2020,0:03:44,Heavy Metal
360,146,in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis,8/31/2015,0:08:44,Alternative
363,75,hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat,3/13/2021,0:04:31,World
789,162,nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque,1/20/2014,0:03:09,Indie
449,27,volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus,1/24/2012,0:07:47,Hip Hop
956,166,accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a,12/29/1988,0:02:56,World
221,158,pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient,10/4/1998,0:04:40,Electronic
917,158,in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu,10/27/2018,0:08:25,New Age
694,71,ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis,1/6/2015,0:09:30,Folk
151,43,nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio,11/3/1996,0:03:17,Rock
114,152,at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat,5/3/1981,0:09:36,Other
909,141,semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin,9/3/2008,0:05:32,Punk
395,158,mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit,12/17/2019,0:09:52,Folk
294,26,diam in magna bibendum imperdiet nullam orci pede venenatis non sodales,5/24/1989,0:01:36,Blues
364,129,erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum,6/23/2020,0:06:02,Alternative
417,177,lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit,12/20/2004,0:06:02,Hip Hop
218,128,ut nunc vestibulum ante ipsum primis in faucibus orci luctus et,3/23/2010,0:02:09,New Age
238,77,sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel,4/5/2006,0:03:32,Heavy Metal
320,155,luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat,1/31/1996,0:04:50,Hip Hop
219,109,sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed,3/24/1982,0:09:09,Alternative
87,15,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio,2/14/2021,0:07:39,Alternative
987,5,sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus,9/23/1988,0:07:24,Indie
111,46,ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam,11/11/2007,0:05:45,Hip Hop
161,195,amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum,10/19/2005,0:04:51,Rock
374,185,lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet,3/27/2012,0:04:05,Rap
778,175,massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo,9/25/2016,0:08:07,Indie
658,155,interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan,1/25/2018,0:09:33,New Age
72,26,nulla tempus vivamus in felis eu sapien cursus vestibulum proin,1/5/1994,0:04:52,Heavy Metal
632,21,cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing,7/31/1994,0:08:51,Electronic
312,171,nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu,3/22/2018,0:00:43,Country
542,129,molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et,3/24/2003,0:04:58,Rap
131,136,faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec,7/26/2006,0:07:14,R&B
607,64,aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed,5/26/2015,0:08:34,Classical
505,18,amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui,10/9/1993,0:02:12,Classical
321,96,enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa,11/7/1987,0:05:54,Pop
709,44,faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel,2/14/2002,0:08:44,Blues
616,191,imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue,9/3/2002,0:07:56,R&B
438,79,curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi,8/2/1983,0:07:35,Jazz
157,123,ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,10/15/2011,0:05:21,Electronic
13,147,condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse,3/26/2011,0:06:49,Blues
32,146,a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus,7/13/2007,0:04:45,Punk
953,118,morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id,9/21/1987,0:01:49,Alternative
175,134,cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est,11/23/1994,0:03:17,Hip Hop
29,150,vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer,5/20/1993,0:02:54,Alternative
574,153,pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi,7/1/2017,0:08:29,Rock
407,30,in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna,4/7/1991,0:02:18,Classical
854,29,tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue,10/21/2015,0:03:34,Blues
692,136,sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit,3/5/1980,0:07:21,Heavy Metal
873,87,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla,6/17/2015,0:07:46,Classical
896,10,convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim,7/22/1997,0:08:06,Other
298,74,suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean,7/19/2011,0:01:09,Rock
969,120,vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus,7/31/2000,0:08:09,Blues
983,170,dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante,10/10/2014,0:00:36,Electronic
267,21,vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices,11/9/2016,0:01:06,Classical
102,111,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac,4/26/2010,0:04:35,Country
196,132,sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis,1/18/2011,0:02:28,Pop
23,143,scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec,12/21/2013,0:04:41,World
367,108,eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum,11/10/2001,0:02:18,Jazz
181,69,sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend,6/9/1984,0:06:32,Indie
225,84,nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec,8/26/2005,0:04:42,Blues
87,51,blandit lacinia erat vestibulum sed magna at nunc commodo placerat,12/7/1989,0:03:37,Other
868,118,mauris vulputate elementum nullam varius nulla facilisi cras non velit,2/5/2002,0:07:21,Jazz
72,87,ut dolor morbi vel lectus in quam fringilla rhoncus mauris,5/18/2001,0:08:01,Alternative
542,104,sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam,4/9/1999,0:09:31,Jazz
75,29,quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero,7/28/1995,0:05:51,Country
109,181,convallis tortor risus dapibus augue vel accumsan tellus nisi eu,7/16/2006,0:00:20,Rock
168,69,libero quis orci nullam molestie nibh in lectus pellentesque at nulla,5/17/2022,0:08:34,Jazz
638,143,pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis,1/13/2004,0:07:20,Hip Hop
372,81,tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi,9/2/1986,0:05:15,Pop
922,5,vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at,11/26/2022,0:07:18,Blues
835,99,nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat,3/3/2018,0:00:06,Jazz
275,134,mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing,2/20/2016,0:07:37,Classical
255,136,mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in,12/2/2022,0:07:36,Hip Hop
492,108,bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis,10/29/1982,0:01:48,Electronic
983,28,eget orci vehicula condimentum curabitur in libero ut massa volutpat,8/18/2001,0:00:21,New Age
123,125,suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in,7/18/2008,0:02:43,Rap
648,132,sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor,1/5/2022,0:04:37,R&B
577,113,semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut,10/24/1999,0:07:28,Indie
982,140,amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in,10/16/2012,0:08:24,Other
162,45,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae,5/19/2017,0:00:56,Jazz
171,76,justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo,9/12/1988,0:06:23,Indie
57,188,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in,10/7/2002,0:09:14,Rap
372,139,luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui,1/25/1995,0:08:40,Rap
724,106,at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut,4/15/1992,0:05:06,Alternative
822,65,suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien,6/18/1998,0:09:40,Rap
682,111,morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id,12/3/2019,0:07:19,Reggae
50,119,at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt,4/11/2015,0:07:07,Indie
428,193,habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent,5/1/2007,0:00:05,Rap
270,39,volutpat erat quisque erat eros viverra eget congue eget semper rutrum,2/10/2008,0:01:29,Blues
109,190,eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque,1/5/1982,0:04:55,Rap
232,63,turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in,11/19/1985,0:02:13,Heavy Metal
833,198,nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti,9/25/1998,0:00:12,Classical
925,177,ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero,5/10/2017,0:06:40,Pop
464,68,ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices,6/11/1999,0:07:49,Jazz
242,180,dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat,4/12/1980,0:03:05,Reggae
501,161,aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus,8/26/1996,0:05:15,Blues
633,99,vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare,1/7/2017,0:09:24,R&B
508,60,venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in,10/19/2022,0:01:20,Hip Hop
397,100,nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque,10/1/2012,0:09:27,Punk
959,196,enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur,2/15/1996,0:03:38,R&B
95,78,at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus,3/18/2018,0:08:52,World
820,160,dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor,7/1/1987,0:08:13,Electronic
756,77,vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget,4/21/2020,0:01:16,Reggae
899,80,aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in,9/19/2018,0:03:43,Heavy Metal
626,49,lectus aliquam sit amet diam in magna bibendum imperdiet nullam,5/29/1983,0:09:47,Electronic
199,153,fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel,1/20/2020,0:01:30,Other
242,95,vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit,6/3/1997,0:00:42,Country
287,129,iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis,9/22/2011,0:00:26,Blues
424,53,dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi,7/25/1998,0:02:49,New Age
263,22,amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla,12/9/1982,0:01:33,R&B
619,200,volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque,11/3/2015,0:09:02,Pop
321,55,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan,9/27/1990,0:02:27,Jazz
96,153,sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus,2/21/2003,0:04:00,Reggae
75,99,pede libero quis orci nullam molestie nibh in lectus pellentesque at,9/13/1990,0:02:10,Rap
685,140,vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum,3/26/1999,0:03:35,World
220,60,sed nisl nunc rhoncus dui vel sem sed sagittis nam congue,12/3/1982,0:02:54,Classical
895,181,vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut,8/20/2002,0:02:16,Reggae
357,81,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla,1/19/1994,0:04:47,Indie
513,86,odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices,10/1/2021,0:02:47,Folk
658,113,in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum,12/22/2000,0:07:30,Jazz
209,153,tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet,5/14/2010,0:06:16,Pop
961,62,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam,2/12/1998,0:01:12,Heavy Metal
418,186,dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi,6/15/1999,0:08:06,World
387,161,nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo,9/26/1985,0:00:41,Other
382,35,at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur,7/5/2007,0:06:56,R&B
420,115,nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit,6/26/2006,0:07:32,Folk
853,153,faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam,7/21/2020,0:00:39,Blues
422,186,ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,1/13/2006,0:09:32,Indie
623,170,integer a nibh in quis justo maecenas rhoncus aliquam lacus,7/3/1981,0:06:51,Country
238,160,placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis,6/15/2013,0:07:57,Jazz
330,185,aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id,3/11/1983,0:03:47,Hip Hop
809,39,maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum,7/27/2000,0:02:06,Rock
87,192,in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc,6/6/2014,0:04:30,Country
498,5,amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien,6/21/1997,0:03:01,Folk
