id_utilisateur,id_groupe,note,commentaire
116,170,3,turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec
798,8,2,non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet
857,175,1,donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit
456,59,2,sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in
970,31,3,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque
267,35,4,duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor
271,195,2,bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce
671,191,1,phasellus in felis donec semper sapien a libero nam dui proin leo odio
269,141,2,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet
56,157,5,elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum
699,17,4,vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia
957,50,3,morbi quis tortor id nulla ultrices aliquet maecenas leo odio
863,140,4,a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque
529,119,1,nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper
698,157,3,mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus
899,147,3,mauris eget massa tempor convallis nulla neque libero convallis eget eleifend
322,154,5,felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio
943,21,2,maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat
160,180,5,id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi
477,135,4,facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at
115,87,5,luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam
47,63,5,euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at
422,101,1,sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at
129,119,3,pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis
128,52,2,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis
283,47,1,condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas
685,126,3,erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in
654,199,1,faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla
208,143,1,id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices
783,102,4,lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue
29,40,1,mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer
80,21,3,ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est
776,39,2,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est
65,81,1,blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer
902,71,4,ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum
416,115,2,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis
234,163,3,neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit
763,169,5,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat
618,132,1,id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit
359,19,2,praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel
704,123,4,magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis
728,55,1,id mauris vulputate elementum nullam varius nulla facilisi cras non velit
238,54,1,congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla
428,60,3,nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu
44,129,3,blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent
106,148,3,risus semper porta volutpat quam pede lobortis ligula sit amet eleifend
262,19,5,elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at
219,134,3,cras mi pede malesuada in imperdiet et commodo vulputate justo in
255,160,2,imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed
224,133,3,sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula
702,193,5,sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et
503,39,2,vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at
703,49,5,ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas
995,59,5,praesent lectus vestibulum quam sapien varius ut blandit non interdum
491,187,3,sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque
853,180,2,praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis
815,173,2,semper porta volutpat quam pede lobortis ligula sit amet eleifend pede
962,105,3,pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra
409,124,5,nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat
296,156,4,amet lobortis sapien sapien non mi integer ac neque duis
231,65,2,consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat
829,11,2,leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio
284,108,1,sed interdum venenatis turpis enim blandit mi in porttitor pede justo
301,12,3,dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh
981,183,5,tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula
863,44,2,erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt
429,142,2,sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod
496,171,5,etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam
70,171,4,dui vel sem sed sagittis nam congue risus semper porta
309,33,2,interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit
201,149,1,quis justo maecenas rhoncus aliquam lacus morbi quis tortor id
448,194,4,justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque
632,161,1,in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum
264,41,2,orci luctus et ultrices posuere cubilia curae donec pharetra magna
720,64,2,massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi
116,172,2,nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac
326,185,3,mi in porttitor pede justo eu massa donec dapibus duis at
690,46,5,vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing
704,41,5,leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer
154,90,2,at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum
697,63,1,sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan
930,19,5,tortor risus dapibus augue vel accumsan tellus nisi eu orci
694,136,5,sed interdum venenatis turpis enim blandit mi in porttitor pede justo
141,178,4,posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet
142,111,2,est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue
839,12,4,augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula
793,16,2,dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend
198,135,1,sapien cursus vestibulum proin eu mi nulla ac enim in tempor
936,60,4,luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus
519,56,4,viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac
191,32,2,nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut
732,106,5,rutrum nulla tellus in sagittis dui vel nisl duis ac
241,198,2,platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt
562,166,2,at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget
258,64,1,ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum
26,185,5,iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec
883,14,5,mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh
107,95,4,mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit
839,57,4,eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et
706,74,1,vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus
84,53,3,nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut
218,175,1,luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis
359,196,1,nec dui luctus rutrum nulla tellus in sagittis dui vel
808,134,5,turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum
664,192,1,adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget
581,148,3,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien
693,67,5,adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc
383,32,3,nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris
101,129,2,vel est donec odio justo sollicitudin ut suscipit a feugiat
343,166,3,sit amet erat nulla tempus vivamus in felis eu sapien
498,81,2,vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi
322,125,1,integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat
567,59,3,nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac
108,91,3,justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo
131,110,2,volutpat dui maecenas tristique est et tempus semper est quam pharetra magna
187,4,4,eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus
941,150,3,faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis
814,126,2,nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis
840,75,4,duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget
351,39,3,orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a
740,174,3,ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque
367,59,5,luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis
406,127,4,dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel
458,178,1,sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo
679,174,1,quis odio consequat varius integer ac leo pellentesque ultrices mattis
243,22,3,volutpat dui maecenas tristique est et tempus semper est quam
618,45,2,rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id
134,132,3,luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur
457,29,2,volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus
157,197,3,consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede
563,135,4,in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum
348,94,1,sit amet diam in magna bibendum imperdiet nullam orci pede
361,101,2,proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis
471,138,5,metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna
223,107,3,sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu
532,133,4,eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec
177,134,5,nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium
214,2,4,adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit
822,55,4,nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus
651,142,1,primis in faucibus orci luctus et ultrices posuere cubilia curae
312,111,1,phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque
499,26,3,metus aenean fermentum donec ut mauris eget massa tempor convallis
481,74,2,pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque
862,47,4,justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam
579,68,1,aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis
549,105,4,mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia
770,139,4,aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan
219,163,1,eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing
110,115,1,eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla
839,149,1,quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse
376,149,3,at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum
611,56,1,suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum
947,162,5,urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo
947,115,3,erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia
134,77,2,enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis
464,104,1,est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum
447,31,1,vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat
246,191,2,neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit
204,42,4,duis bibendum morbi non quam nec dui luctus rutrum nulla tellus
578,129,1,quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec
644,81,2,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum
260,126,3,ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non
627,125,1,vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci
766,56,1,nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat
852,159,5,vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam
17,127,1,nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam
707,26,4,mi integer ac neque duis bibendum morbi non quam nec dui luctus
118,156,2,pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing
495,175,2,quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at
280,173,4,donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim
62,119,5,sit amet eros suspendisse accumsan tortor quis turpis sed ante
96,105,4,consequat morbi a ipsum integer a nibh in quis justo maecenas
887,24,5,dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam
39,107,3,integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas
440,130,1,metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh
328,167,2,magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
282,24,5,vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla
55,119,4,dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque
168,126,1,tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum
35,19,5,sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit
451,92,2,tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet
192,152,4,nam dui proin leo odio porttitor id consequat in consequat
857,72,2,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est
254,153,3,interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu
214,77,3,ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras
718,74,2,maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu
978,177,4,id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci
50,91,2,ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse
274,192,5,nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam
844,104,2,dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur
668,194,4,ac tellus semper interdum mauris ullamcorper purus sit amet nulla
770,170,4,sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris
997,34,1,sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla
789,28,1,vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed
10,71,4,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus
855,2,3,ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices
650,75,1,parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes
692,185,4,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla
724,144,2,eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum
161,12,5,sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis
678,128,1,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet
177,15,4,praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras
214,30,4,donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit
57,118,5,vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis
634,20,4,dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante
202,170,3,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien
405,184,3,vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et
907,4,1,eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis
474,125,3,at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst
1,83,3,hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur
503,58,1,molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea
3,116,4,interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac
285,10,1,nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum
271,18,2,in congue etiam justo etiam pretium iaculis justo in hac
165,196,5,vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue
200,81,2,justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing
248,60,4,curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum
632,184,4,curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus
462,170,5,aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed
229,176,3,in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum
814,9,4,convallis nunc proin at turpis a pede posuere nonummy integer non
666,66,2,justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam
574,98,4,condimentum curabitur in libero ut massa volutpat convallis morbi odio
440,196,2,pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in
411,50,2,justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia
549,99,3,turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel
231,159,3,magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt
958,108,5,libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla
335,87,3,velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium
956,96,3,curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla
996,88,2,condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat
973,29,4,in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices
727,98,4,in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst
929,147,2,porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac
904,192,5,vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra
51,40,1,leo rhoncus sed vestibulum sit amet cursus id turpis integer
643,154,4,at vulputate vitae nisl aenean lectus pellentesque eget nunc donec
337,110,5,sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque
153,153,1,justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus
57,92,1,non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at
422,114,5,id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero
738,44,5,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti
980,81,3,in faucibus orci luctus et ultrices posuere cubilia curae mauris
817,96,4,nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut
640,125,4,pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus
891,17,1,consequat varius integer ac leo pellentesque ultrices mattis odio donec
704,77,2,ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi
589,84,3,consequat ut nulla sed accumsan felis ut at dolor quis odio
541,121,1,integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit
682,60,1,ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend
819,70,5,eu mi nulla ac enim in tempor turpis nec euismod scelerisque
82,197,2,praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel
404,140,4,convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum
863,135,4,quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a
859,182,1,ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut
867,119,3,sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis
709,35,2,nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo
176,140,5,tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea
694,144,1,erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi
915,98,2,donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam
650,135,1,non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis
179,151,3,in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed
708,109,2,nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices
190,114,4,dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam
