id_utilisateur,id_morceau,note,commentaire
264,786,3,nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed
141,776,3,risus auctor sed tristique in tempus sit amet sem fusce consequat
313,977,3,massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci
156,926,5,tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque
753,264,2,eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a
142,276,3,primis in faucibus orci luctus et ultrices posuere cubilia curae
773,922,5,platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit
18,558,2,in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis
802,968,4,pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus
437,451,4,in porttitor pede justo eu massa donec dapibus duis at
352,934,5,cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec
988,80,1,viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper
778,104,1,tellus nulla ut erat id mauris vulputate elementum nullam varius nulla
817,927,4,sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim
917,742,3,sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque
410,485,2,sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum
873,531,5,sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede
55,489,5,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla
491,635,2,blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et
335,969,2,in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes
820,956,1,blandit non interdum in ante vestibulum ante ipsum primis in
943,311,5,in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis
488,301,1,in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio
8,395,2,nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat
560,523,3,mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis
801,75,1,et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit
1,692,1,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim
842,163,3,pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed
435,152,1,aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh
264,444,5,vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi
290,385,4,sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit
96,996,1,hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque
436,506,1,pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet
36,351,3,aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in
708,708,2,pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus
804,326,1,massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst
240,513,4,est et tempus semper est quam pharetra magna ac consequat metus
715,297,5,vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum
898,505,3,sed magna at nunc commodo placerat praesent blandit nam nulla integer
791,27,1,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac
77,437,4,nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor
297,418,2,lectus pellentesque eget nunc donec quis orci eget orci vehicula
781,471,1,ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices
650,927,5,turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis
206,15,2,in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus
550,929,5,integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna
385,983,3,viverra pede ac diam cras pellentesque volutpat dui maecenas tristique
434,786,3,sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum
591,774,1,ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia
767,425,1,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque
943,316,3,tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat
36,195,2,et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit
462,274,1,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia
246,903,3,at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes
778,347,5,etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris
195,645,1,justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et
262,166,2,rutrum ac lobortis vel dapibus at diam nam tristique tortor eu
276,592,2,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in
856,158,5,phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum
128,186,2,tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu
97,56,4,amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor
589,42,5,aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat
228,974,4,quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus
917,961,3,vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus
225,82,1,eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis
108,732,5,aliquam convallis nunc proin at turpis a pede posuere nonummy
226,315,4,et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien
544,525,5,erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam
536,573,2,ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean
607,950,1,sem duis aliquam convallis nunc proin at turpis a pede
764,234,3,erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst
809,227,2,vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin
352,569,4,ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices
186,301,2,nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac
470,90,1,vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci
527,758,1,risus dapibus augue vel accumsan tellus nisi eu orci mauris
557,289,3,quisque ut erat curabitur gravida nisi at nibh in hac
285,455,3,donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi
351,802,1,est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi
952,57,1,hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer
838,33,5,dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur
276,206,2,est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices
865,617,3,lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea
423,848,4,varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus
214,850,4,amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis
372,741,2,vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci
100,182,4,consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu
26,997,2,vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed
567,842,4,vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at
137,150,4,et eros vestibulum ac est lacinia nisi venenatis tristique fusce
756,465,2,morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate
986,621,4,nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget
711,764,4,nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta
188,306,5,in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam
439,894,5,lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus
646,592,2,nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id
991,774,5,augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere
115,985,5,consequat lectus in est risus auctor sed tristique in tempus sit amet sem
876,869,2,eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut
270,291,1,non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis
773,245,2,pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst
867,187,2,fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend
212,165,3,dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id
54,256,5,nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi
927,154,3,suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem
412,480,3,quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis
630,956,1,scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede
661,397,5,nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer
418,352,3,et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl
887,415,4,blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere
889,651,1,eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien
11,635,5,vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur
810,954,1,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus
796,594,1,ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit
316,193,2,ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac
909,268,2,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi
691,633,4,metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus
921,850,1,pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem
855,897,3,ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis
415,852,3,quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in
731,50,2,primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti
471,550,3,in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum
840,352,3,erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis
374,769,3,at velit vivamus vel nulla eget eros elementum pellentesque quisque
636,410,2,morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet
406,554,5,dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non
235,370,1,laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed
359,261,3,blandit mi in porttitor pede justo eu massa donec dapibus duis at velit
502,297,3,ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis
725,549,4,ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam
309,715,2,in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus
483,924,4,vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci
777,103,1,faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi
314,805,1,rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis
852,662,3,vel nisl duis ac nibh fusce lacus purus aliquet at
306,561,5,dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla
579,968,4,luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at
385,623,5,facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus
28,592,4,interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at
135,398,5,lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu
640,516,3,pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla
266,648,5,lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus
907,495,2,donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris
932,99,5,quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis
562,446,3,tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum
640,273,5,morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis
485,81,1,massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis
97,838,4,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus
341,733,3,lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa
221,258,1,tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat
740,179,1,morbi non lectus aliquam sit amet diam in magna bibendum
296,760,1,ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor
579,790,5,id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam
497,617,5,justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum
133,548,4,eu felis fusce posuere felis sed lacus morbi sem mauris
821,780,2,lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia
352,310,1,sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at
248,419,4,luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus
47,708,1,donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis
394,417,4,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis
721,633,3,consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo
655,516,3,sed magna at nunc commodo placerat praesent blandit nam nulla
356,908,3,integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar
429,726,1,a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi
676,432,4,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis
131,182,1,morbi non quam nec dui luctus rutrum nulla tellus in
26,259,3,quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus
289,369,5,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio
258,370,4,est et tempus semper est quam pharetra magna ac consequat metus
140,662,3,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien
392,592,4,justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices
13,417,4,massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet
586,243,5,vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam
106,552,5,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut
836,873,3,in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae
145,524,5,ornare consequat lectus in est risus auctor sed tristique in tempus
281,183,1,nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget
291,263,4,sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem
535,805,5,quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer
165,11,1,in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis
452,384,2,nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy
640,473,2,id luctus nec molestie sed justo pellentesque viverra pede ac diam
126,793,3,adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus
856,908,3,ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt
435,488,3,donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium
346,736,1,faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam
814,920,2,nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi
941,132,2,faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus
67,779,1,ligula nec sem duis aliquam convallis nunc proin at turpis a pede
878,743,5,mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac
813,661,3,hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer
798,691,3,nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi
430,239,5,sed ante vivamus tortor duis mattis egestas metus aenean fermentum
768,29,2,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam
534,17,1,non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede
653,893,4,montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum
546,157,2,in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat
50,236,4,felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque
107,132,3,ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam
765,579,2,tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi
245,960,4,nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit
300,433,4,phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae
635,702,2,condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas
346,259,3,nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem
668,784,3,varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede
485,642,5,primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor
419,485,1,sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam
440,942,3,donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus
304,719,5,augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus
95,387,4,porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit
98,645,5,ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue
876,992,4,pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus
413,610,3,aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus
436,992,1,neque aenean auctor gravida sem praesent id massa id nisl
648,740,5,et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium
788,372,1,vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus
587,25,3,posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus
188,621,1,magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede
89,964,2,lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam
354,9,1,lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa
958,607,4,ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam
264,533,4,imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam
877,139,4,magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum
757,921,5,orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat
456,420,5,tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris
506,243,3,augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet
504,852,1,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque
853,941,5,volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna
605,55,1,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit
923,929,3,sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed
306,442,4,nullam orci pede venenatis non sodales sed tincidunt eu felis fusce
5,50,3,proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing
537,192,5,ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit
343,409,3,enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis
920,795,1,libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna
70,35,5,consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna
628,463,1,montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl
609,547,3,in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus
755,556,2,sollicitudin mi sit amet lobortis sapien sapien non mi integer
641,124,4,et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum
176,847,5,mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante
974,831,1,vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique
114,242,3,quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus
212,833,3,primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus
976,841,2,vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam
915,428,3,turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor
922,52,5,risus auctor sed tristique in tempus sit amet sem fusce consequat nulla
186,772,1,sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit
380,978,1,venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit
710,39,1,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat
507,900,3,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis
185,796,4,felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui
